Ref_Date,GEO,HAR,TYP,Value
2014,British Columbia,Seeded area (hectares),Barley,21900
2014,British Columbia,Seeded area (hectares),"Beans, all dry (white and coloured)",..
2014,British Columbia,Seeded area (hectares),Canola,42500
2014,British Columbia,Seeded area (hectares),"Corn, fodder",14200
2014,British Columbia,Seeded area (hectares),Flaxseed,..
2014,British Columbia,Seeded area (hectares),Mixed grains,2400
2014,British Columbia,Seeded area (hectares),Oats,27500
2014,British Columbia,Seeded area (hectares),"Peas, dry",8100
2014,British Columbia,Seeded area (hectares),"Rye, all",..
2014,British Columbia,Seeded area (hectares),"Rye, all including fall rye remaining",..
2014,British Columbia,Seeded area (hectares),"Rye, fall seeded in previous fall",..
2014,British Columbia,Seeded area (hectares),Summerfallow,20200
2014,British Columbia,Seeded area (hectares),Tame hay,404700
2014,British Columbia,Seeded area (hectares),"Wheat, all",37600
2014,British Columbia,Seeded area (hectares),"Wheat, all including winter wheat remaining",37600
2014,British Columbia,Seeded area (hectares),"Wheat, winter seeded in previous fall",..
2014,British Columbia,Seeded area (hectares),"Wheat, all excluding durum wheat",37600
2014,British Columbia,Production (metric tonnes),Barley,42700
2014,British Columbia,Production (metric tonnes),"Beans, all dry (white and coloured)",..
2014,British Columbia,Production (metric tonnes),Canola,71900
2014,British Columbia,Production (metric tonnes),"Corn, fodder",557900
2014,British Columbia,Production (metric tonnes),Flaxseed,..
2014,British Columbia,Production (metric tonnes),Mixed grains,2200
2014,British Columbia,Production (metric tonnes),Oats,51800
2014,British Columbia,Production (metric tonnes),"Peas, dry",18800
2014,British Columbia,Production (metric tonnes),"Rye, all",..
2014,British Columbia,Production (metric tonnes),Tame hay,1469600
2014,British Columbia,Production (metric tonnes),"Wheat, all",109400
2014,British Columbia,Production (metric tonnes),"Wheat, all excluding durum wheat",109400
